Mese;Settimana;Data;Sport;Competizione;Mercato;Stake;Quota;Pot_win;Esito;Tipster;Book;Online_fisico;Live_PM;Profit;Cumulativo
M5_G22;W915_G1;2022-06-04;TENTAV;TTCup;Vincente Incontro;20.00;4.75;95.00;P;federicovic;Sisal;O;L;-20.00;93.70
M5_G22;W915_G1;2022-06-05;CALCIO;ITA-4;Risultato Esatto;20.00;19.00;380.00;P;Bo;Sisal;O;L;-20.00;73.70
M5_G22;W915_G1;2022-06-05;CALCIO;Qual_mond;Passaggio Turno;20.00;6.90;138.00;P;Ludo;Sisal;O;L;-20.00;53.70
M5_G22;W915_G1;2022-06-06;CALCIO;SER-U19;1X2;35.00;1.90;66.50;V;GAD_serbia;Sisal;O;L;31.50;85.20
M5_G22;W915_G1;2022-06-06;CALCIO;GEO-3;Risultato Esatto;10.00;29.00;290.00;P;eliuccio;Sisal;O;L;-10.00;75.20
M5_G22;W915_G1;2022-06-06;TENTAV;TTCup;Vincente Incontro;25.00;3.14;78.50;P;Arb_TT;Sisal;O;PM;-25.00;50.20
M5_G22;W916_G2;2022-06-09;TENTAV;TTCup;Vincente Incontro;25.00;1.82;45.50;V;Arb_TT;Sisal;O;PM;20.50;70.70
M5_G22;W916_G2;2022-06-09;TENNIS;CHA;Vincente Incontro;10.00;25.00;250.00;P;MTO;Sisal;O;L;-10.00;60.70
M5_G22;W916_G2;2022-06-09;CALCIO;CZE-4;1X2 HT;10.00;5.50;55.00;P;Graz;Sisal;O;L;-10.00;50.70
M5_G22;W916_G2;2022-06-10;VOLLEY;VIE-2;Vincente Incontro;20.00;5.60;112.00;P;23015;Sisal;O;L;-20.00;30.70
M5_G22;W916_G2;2022-06-10;TENTAV;TT-HUN;Vincente Incontro;20.00;1.90;38.00;V;Borgo;Sisal;O;L;18.00;48.70
